,NEO_REFERENCE_ID,EST_DIA_IN_M(MIN),EST_DIA_IN_M(MAX),RELATIVE_VELOCITY_KM_PER_SEC,MISS_DIST.(KILOMETERS),PERIHELION_DISTANCE,APHELION_DIST,PERIHELION_TIME,MEAN_ANOMALY,MEAN_MOTION,HAZARDOUS,RISK_CATEGORY
885,3714553,221.0828104,494.3561926,11.65952958,63422648.0,0.944486789,1.38919612,2458198.229,205.3834595,0.781963171,1,2
886,3373975,127.2198785,284.4722965,14.07539714,32252850.0,1.031473466,1.864550341,2458113.104,296.305748,0.565647505,0,1
887,3714452,201.6299194,450.8582062,23.76774875,26749868.0,0.326629134,1.394850897,2458122.997,208.8110789,1.234229957,1,2
888,3604307,121.4940408,271.6689341,8.429985637,26023236.0,0.935005854,1.546653577,2458027.821,340.5184014,0.713075961,1,2
889,3719730,92.16265485,206.0819612,19.43259105,26080848.0,0.370872619,1.518417778,2458085.186,269.0893415,1.073497387,0,1
890,3545713,48.36764882,108.1533507,14.84479547,3100464.75,0.445625561,1.322543758,2458093.062,250.2518542,1.185668526,0,1
891,2376788,350.3926411,783.5017643,27.46564954,69957424.0,0.524621222,1.557172815,2457849.007,140.6002507,0.928094987,0,2
892,2208115,192.5550782,430.5662442,12.55436557,46415732.0,0.838391284,1.760502131,2458017.63,348.6018466,0.665374824,1,2
893,3552575,73.20739893,163.6967205,12.33888188,37298016.0,0.861202085,1.155949144,2457989.607,10.599348,0.97306394,0,1
894,3179348,48.36764882,108.1533507,8.904018282,60182264.0,0.737267845,1.392775886,2457999.009,1.337467224,0.896739474,0,1
895,3614399,69.91252322,156.3291544,8.397595503,36243484.0,0.845576182,1.193630345,2457956.861,41.77688752,0.957320256,0,1
896,3714121,63.76097899,142.5738833,14.93416869,55031376.0,1.096405959,1.232293462,2458133.985,255.2840329,0.784474651,0,1
897,3430492,46.19074603,103.2856481,8.408508503,28493712.0,0.779842997,1.408741292,2457984.537,13.74460265,0.861001983,0,1
898,3772846,14.70127416,32.87304837,6.047388707,22573632.0,0.649567807,1.160126809,2458066.911,283.9532797,1.145093965,0,0
899,3330689,35.03926411,78.35017643,14.68517642,57902824.0,0.999613628,1.467602397,2457831.348,121.6788611,0.719346776,0,1
900,3740342,110.8038821,247.7650126,21.1995158,65573976.0,0.698655614,1.572525615,2457992.481,6.531063432,0.814463042,0,1
901,3376345,22.10828104,49.43561926,10.71326966,27546496.0,0.878469808,1.093242735,2458067.556,292.4814135,1.006893804,0,0
902,3672910,36.69061375,82.04270649,12.38998502,42814428.0,1.021863061,1.586718962,2457866.029,88.97575539,0.661671337,0,1
903,3724394,127.2198785,284.4722965,21.01451655,61465168.0,0.781789616,1.551269977,2457836.085,128.617949,0.782276564,0,1
904,3771614,137.9605689,308.4892103,20.37422233,33566916.0,1.053139736,1.41868453,2457874.564,90.33855226,0.717336088,0,1
905,3645649,30.51792326,68.24015094,8.115731138,12311839.0,0.830905112,1.254310277,2458180.936,192.9503264,0.925811744,0,0
906,3137846,76.65755735,171.4115092,12.74758895,34500084.0,1.032468247,2.104301385,2458263.629,227.9633029,0.501793614,0,1
907,2482505,334.6223745,748.2383761,20.552474,46659548.0,0.740403467,1.6616866,2457815.411,138.5941348,0.748798794,0,2
908,3772381,5.043766544,11.27820486,6.448936239,20354612.0,0.976711907,1.27710245,2457784.59,177.8870093,0.823894978,0,0
909,2470594,242.4124811,542.0507863,18.51751945,48037648.0,1.035614874,1.717388349,2458248.697,208.5269511,0.610293842,0,2
910,2387871,402.3045798,899.5803882,18.8578856,35293916.0,0.840277738,3.361794721,2457799.472,65.05943128,0.323633717,0,2
911,3735468,101.0543415,225.9643771,13.96684342,64641484.0,1.007401905,1.626128951,2457949.77,33.09059804,0.652291096,0,1
912,3249183,84.05334021,187.9489824,15.49101439,56666716.0,1.106020115,2.031208113,2458221.738,249.0083176,0.501683591,0,1
913,2436030,350.3926411,783.5017643,11.04526501,68946320.0,0.463553189,1.313274755,2457970.066,35.82167445,1.177012307,0,2
